m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,k_over_true_rank,selector,u_method,generation_ms,generation_q_ms,generation_scale_ms,generation_multiply_ms,generation_copy_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,serialized_solution_bytes,status
1025,1100,true,0,12,3,129,21,0.162790698,block_krylov_maxvol,svd_pseudoinverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,17.139888000,0.089659000,2.979530000,0.411336000,20.620413000,0.000463481,0.000233343,1.986264479,1.000000000,1764,2450,ok
1025,1100,true,0,13,3,129,12,0.093023256,matrix_norms,intersection_inverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,0.687336000,0.093747000,0.127311000,0.445141000,1.353535000,0.007264115,0.000555517,13.076307497,0.994164446,576,914,ok
1025,1100,true,0,13,3,129,12,0.093023256,matrix_norms,svd_pseudoinverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,0.687336000,0.093747000,2.097085000,0.400555000,3.278723000,0.001703440,0.000555517,3.066403177,1.000000000,576,922,ok
1025,1100,true,0,13,3,129,12,0.093023256,block_krylov_maxvol,intersection_inverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,13.561789000,0.084239000,0.121569000,0.378684000,14.146281000,0.001080093,0.000555517,1.944300307,1.000000000,576,910,ok
1025,1100,true,0,13,3,129,12,0.093023256,block_krylov_maxvol,svd_pseudoinverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,13.561789000,0.084239000,2.007876000,0.372753000,16.026657000,0.000866734,0.000555517,1.560228695,1.000000000,576,918,ok
1025,1100,true,0,14,3,129,42,0.325581395,matrix_norms,intersection_inverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,0.673831000,0.081725000,0.164639000,0.395937000,1.316132000,0.012859567,0.000079838,161.071419653,0.266962321,7056,9150,ok
1025,1100,true,0,14,3,129,42,0.325581395,matrix_norms,svd_pseudoinverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,0.673831000,0.081725000,5.553374000,0.395868000,6.704798000,0.003371694,0.000079838,42.231866671,1.000000000,7056,9122,ok
1025,1100,true,0,14,3,129,42,0.325581395,block_krylov_maxvol,intersection_inverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,26.898362000,0.087094000,0.168278000,0.412338000,27.566072000,0.002193295,0.000079838,27.471930152,1.000000000,7056,9170,ok
1025,1100,true,0,14,3,129,42,0.325581395,block_krylov_maxvol,svd_pseudoinverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,26.898362000,0.087094000,5.964280000,0.632113000,33.581849000,0.000397631,0.000079838,4.980490132,1.000000000,7056,9138,ok
1025,1100,true,0,15,3,129,25,0.193798450,matrix_norms,intersection_inverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,0.668991000,0.094498000,0.131148000,0.433407000,1.328044000,0.007294637,0.000178375,40.894971386,0.635774989,2500,3394,ok
